MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
RIO DO ANTONIO,3334,715,2023,1
RIO DO PIRES,3953,1680,2023,1
RIO REAL,12045,6685,2023,1
RODELAS,2522,1351,2023,1
RUY BARBOSA,8025,3399,2023,1
SALINAS DA MARGARIDA,1509,388,2023,1
SALVADOR,1008484,163660,2023,1
SANTA BARBARA,4810,2172,2023,1
SANTA BRIGIDA,2681,1376,2023,1
SANTA CRUZ CABRALIA,7705,2607,2023,1
SANTA CRUZ DA VITORIA,673,205,2023,1
SANTA INES,1881,565,2023,1
SANTA LUZIA,1773,751,2023,1
SANTA MARIA DA VITORIA,15428,7423,2023,1
SANTA RITA DE CASSIA,5044,2286,2023,1
SANTA TERESINHA,1833,474,2023,1
SANTALUZ,9736,3165,2023,1
SANTANA,8221,4618,2023,1
SANTANOPOLIS,1916,801,2023,1
SANTO AMARO,12305,4825,2023,1
SANTO ANTONIO DE JESUS,60164,19880,2023,1
SANTO ESTEVAO,21445,9497,2023,1
SAO DESIDERIO,9238,2620,2023,1
SAO DOMINGOS,2437,809,2023,1
SAO FELIPE,6934,3223,2023,1
SAO FELIX,3064,783,2023,1
SAO FELIX DO CORIBE,6629,3170,2023,1
SAO FRANCISCO DO CONDE,8828,2854,2023,1
SAO GABRIEL,4468,1890,2023,1
SAO GONCALO DOS CAMPOS,9450,3004,2023,1
SAO JOSE DA VITORIA,1067,432,2023,1
SAO JOSE DO JACUIPE,2752,1198,2023,1
SAO MIGUEL DAS MATAS,2552,1133,2023,1
SAO SEBASTIAO DO PASSE,10632,2899,2023,1
SAPEACU,5692,2510,2023,1
SATIRO DIAS,2537,1128,2023,1
SAUBARA,1658,613,2023,1
SAUDE,2829,1203,2023,1
SEABRA,23118,9014,2023,1
SEBASTIAO LARANJEIRAS,1794,725,2023,1
SENHOR DO BONFIM,29404,10719,2023,1
SENTO SE,3935,2305,2023,1
SERRA DO RAMALHO,7327,3908,2023,1
SERRA DOURADA,4088,2322,2023,1
SERRA PRETA,3220,1629,2023,1
SERRINHA,36460,14742,2023,1
SERROLANDIA,3846,1586,2023,1
SIMOES FILHO,45372,8878,2023,1
SITIO DO MATO,1791,969,2023,1
SITIO DO QUINTO,2317,1404,2023,1
SOBRADINHO,6265,2569,2023,1
SOUTO SOARES,3708,986,2023,1
TABOCAS DO BREJO VELHO,2334,1191,2023,1
TANHACU,6933,2518,2023,1
TANQUE NOVO,5529,1241,2023,1
TANQUINHO,1634,683,2023,1
TAPEROA,4058,1718,2023,1
TAPIRAMUTA,2258,594,2023,1
TEIXEIRA DE FREITAS,75250,24586,2023,1
TEODORO SAMPAIO,1013,371,2023,1
TEOFILANDIA,6040,2627,2023,1
TEOLANDIA,3496,1552,2023,1
TERRA NOVA,1606,493,2023,1
TREMEDAL,3135,1137,2023,1
TUCANO,13787,5727,2023,1
UAUA,5515,1695,2023,1
UBAIRA,5001,2054,2023,1
UBAITABA,5980,1982,2023,1
UBATA,4895,1832,2023,1
UIBAI,3443,1159,2023,1
UMBURANAS,2347,727,2023,1
UNA,4186,1603,2023,1
URANDI,5635,2496,2023,1
URUCUCA,4896,1765,2023,1
UTINGA,3619,1189,2023,1
VALENCA,31015,10680,2023,1
VALENTE,8009,2068,2023,1
VARZEA DA ROCA,3171,1421,2023,1
VARZEA DO POCO,2630,1086,2023,1
VARZEA NOVA,3179,931,2023,1
VARZEDO,2495,1192,2023,1
